ProductId;LocalOrderCode;HasGraphicalItem;Description;Price;DiscountFamilyGroup;UnitOfMeasure
1SDA050230R1;1SDA050230R1;0;1/2 KIT STANDARD TERMINALS;2877;BreakerDiscount;pcs
1STQ000976A0000;EV1039;0;3mm double tab insert for inner door;484;EnclosuresDiscount;pcs
1SDA065972R1;1SDA065972R1;0;4 OP/CL AUX.CONT.V<24V x PR331 T8;522;BreakerDiscount;pcs
1SDA065820R1;1SDA065820R1;0;4 OP/CL AUX.CONT.V<24V x PR332 T8;1324;BreakerDiscount;pcs
1SDA065971R1;1SDA065971R1;0;4 OP/CL AUX.CONT.x PR331 T8;1808;BreakerDiscount;pcs
1SDA065819R1;1SDA065819R1;0;4 OP/CL AUX.CONT.x PR332 T8;1893;BreakerDiscount;pcs
1STQ008119A0000;PITH0064;0;6.4 triangular male insert on Ø 7.6 for external door single door version;207;EnclosuresDiscount;pcs
1STQ008120A0000;PISH0007;0;7 square male insert for external door single door version;121;EnclosuresDiscount;pcs
1SDA062158R1;1SDA062158R1;0;ACCESS.FOR LOCK IN EXTRACT T7-T7M-X1;1425;BreakerDiscount;pcs
1SDA070013R1;1SDA070013R1;0;ADAPTER SWITCHBOARD MNS TMAX T2 3p;1321;BreakerDiscount;pcs
1SDA069294R1;1SDA069294R1;0;ADAPTER SWITCHBOARD MNS TMAX T4 3p;2555;BreakerDiscount;pcs
1SDA069295R1;1SDA069295R1;0;ADAPTER SWITCHBOARD MNS TMAX T4 4p;2727;BreakerDiscount;pcs
1SDA069296R1;1SDA069296R1;0;ADAPTER SWITCHBOARD MNS TMAX T5 400 3p;993;BreakerDiscount;pcs
1SDA069297R1;1SDA069297R1;0;ADAPTER SWITCHBOARD MNS TMAX T6 3p;2114;BreakerDiscount;pcs
1SDA065803R1;1SDA065803R1;0;ADAPTER x BUS-BARS 60mm T4 3p F;682;BreakerDiscount;pcs
1SDA065804R1;1SDA065804R1;0;ADAPTER x BUS-BARS 60mm T4 3p P;1627;BreakerDiscount;pcs
1SDA065805R1;1SDA065805R1;0;ADAPTER x BUS-BARS 60mm T5 400 3p F;337;BreakerDiscount;pcs
1SDA065806R1;1SDA065806R1;0;ADAPTER x BUS-BARS 60mm T5 400 3p P;518;BreakerDiscount;pcs
1SDA065807R1;1SDA065807R1;0;ADAPTER x BUS-BARS 60mm T5 520 3p F;899;BreakerDiscount;pcs
1SDA081670R1;1SDA081670R1;0;ADHES.LABEL-MADE IN ITALY T7-T8-EmaxNew;2118;BreakerDiscount;pcs
1SDA054924R1;1SDA054924R1;0;ADP 10pin MOE AUE T4-T5-T6 P/W;707;BreakerDiscount;pcs
1SDA054923R1;1SDA054923R1;0;ADP 12pin AUX T4-T5-T6 P/W;174;BreakerDiscount;pcs
1SDA065818R1;1SDA065818R1;0;ADP 12pin MOE T4-5-6 P/W SP.VERS.FS xPLC;2198;BreakerDiscount;pcs
1SDA055173R1;1SDA055173R1;0;ADP 5pin SOR/UVR RC T4-T5-T6 P/W;2412;BreakerDiscount;pcs
1SDA054922R1;1SDA054922R1;0;ADP 6pin AUX T4-T5-T6 P/W;1823;BreakerDiscount;pcs
1SDA051397R1;1SDA051397R1;0;ANTI-ADJUSTMENT FLANGE RELEASES T1.T3;2363;BreakerDiscount;pcs
1SDA074215R1;1SDA074215R1;0;Arrang. external outlets E1.2/E6.2Ex;498;BreakerDiscount;pcs
1SDA074213R1;1SDA074213R1;0;Arrang. low internal outlets E1.2/E6.2Ex;1751;BreakerDiscount;pcs
1SDA074214R1;1SDA074214R1;0;Arrang. up internal outlets E1.2/E6.2Ex;1251;BreakerDiscount;pcs
1SDA065523R1;1SDA065523R1;0;ATS021 AUTO.TRAN.SWITCH MULTI VOLTAGE;1353;BreakerDiscount;pcs
1SDA065524R1;1SDA065524R1;0;ATS022 AUTO.TRAN.SWITCH ADVANCED CONTROL;321;BreakerDiscount;pcs
1SDA051374R1;1SDA051374R1;0;AUE T1-T2-T3 2 EARLY CONTACTS;1950;BreakerDiscount;pcs
1SDA054925R1;1SDA054925R1;0;AUE T4-T5 250Vac/dc 2 EARLY CONTACTS;1587;BreakerDiscount;pcs
1SDA060394R1;1SDA060394R1;0;AUE T6 250Vac/dc 2 EARLY CONTACTS;356;BreakerDiscount;pcs
1SDA062112R1;1SDA062112R1;0;AUE T7 400Va.c. 3 EARLY CONTACTS;1661;BreakerDiscount;pcs
1SDA080374R1;1SDA080374R1;0;AUP 5 cont. 24Vdc SX E2.2...E6.2 UL;63;BreakerDiscount;pcs
1SDA080373R1;1SDA080373R1;0;AUP 5 cont. 400Vac SX E2.2...E6.2 UL;1475;BreakerDiscount;pcs
1SDA073765R1;1SDA073765R1;0;AUP 5 contacts 24Vdc SX E2.2...E6.2;2103;BreakerDiscount;pcs
1SDA073764R1;1SDA073764R1;0;AUP 5 contacts 400Vac SX E2.2...E6.2;2620;BreakerDiscount;pcs
1SDA073767R1;1SDA073767R1;0;AUP 5 suppl.cont. 24Vdc DX E2.2...E6.2;2743;BreakerDiscount;pcs
1SDA080376R1;1SDA080376R1;0;AUP 5 suppl.cont. 24Vdc DX E2.2..E6.2 UL;622;BreakerDiscount;pcs
1SDA073766R1;1SDA073766R1;0;AUP 5 suppl.cont. 400Vac DX E2.2...E6.2;975;BreakerDiscount;pcs
1SDA080375R1;1SDA080375R1;0;AUP 5 suppl.cont. 400Vac DX E2.2..E6.2UL;2210;BreakerDiscount;pcs
1SDA073763R1;1SDA073763R1;0;AUP 6 contacts 24Vdc E1.2;2033;BreakerDiscount;pcs
1SDA073762R1;1SDA073762R1;0;AUP 6 contacts 400Vac E1.2;1043;BreakerDiscount;pcs
1SDA073768R1;1SDA073768R1;0;AUP Ekip aux position contact E1.2..E6.2;410;BreakerDiscount;pcs
1SDA051372R1;1SDA051372R1;0;AUP T2-T3 1 CON.INSERTED SIGNALLING;217;BreakerDiscount;pcs
1SDA062110R1;1SDA062110R1;0;AUP T7-T7M-X1 24Vd.c. (2INS+2TEST+2EXT);970;BreakerDiscount;pcs
1SDA062111R1;1SDA062111R1;0;AUP T7-T7M-X1 250Va.c. (2INS+2TEST+2EXT);102;BreakerDiscount;pcs
1SDA070248R1;1SDA070248R1;0;AUP T7-T7M-X1/ML 24Vdc (2INS+2TEST+2EST);2111;BreakerDiscount;pcs
1SDA054920R1;1SDA054920R1;0;AUP-I T4-T5-T6 24 Vdc CON.INSERTED SIGN.;2547;BreakerDiscount;pcs
1SDA054918R1;1SDA054918R1;0;AUP-I T4-T5-T6 CON.INSERTED SIGN;1456;BreakerDiscount;pcs
1SDA054921R1;1SDA054921R1;0;AUP-R T4-T5-T6 24 Vdc CON.WITHDRAW.SIGN.;723;BreakerDiscount;pcs
1SDA054919R1;1SDA054919R1;0;AUP-R T4-T5-T6 CON.WITHDRAW.SIG.;80;BreakerDiscount;pcs
1SDA073759R1;1SDA073759R1;0;AUX 15Q 24V E1.2;2638;BreakerDiscount;pcs
1SDA073758R1;1SDA073758R1;0;AUX 15Q 400V E1.2;1484;BreakerDiscount;pcs
1SDA073761R1;1SDA073761R1;0;AUX 15Q SUPPL. 24VDC F INS E2.2...E6.2;2344;BreakerDiscount;pcs
1SDA073760R1;1SDA073760R1;0;AUX 15Q SUPPL. 400VAC F INS E2.2...E6.2;1718;BreakerDiscount;pcs
1SDA073755R1;1SDA073755R1;0;AUX 2Q 400V + 2Q 24V E2.2...E6.2;1082;BreakerDiscount;pcs
1SDA073752R1;1SDA073752R1;0;AUX 2Q 400VAC + 2Q 24VDC E1.2;2950;BreakerDiscount;pcs
