LocalOrderCode;ProductId;Description;Description DE;Price;Weight;DiscountFamilyGroup
AA1560;1STQ009138A0000;TRIANGULAR IRON KEY;SCHLUSSEL DREIECK EINFUGEN;9.97;0.2;Missing
AA1570;1STQ009137A0000;FIAT TYPE KEY;SCHLUSSEL FIAT;42;0.2;Missing
AA6200;1STQ009135A0000;YALE INSERT TYPE;YALE EINFUGEN +SCHLUSSEL;32.71;0.2;Missing
AA8004;1STQ009136A0000;CYLINDRE RONIS R739;EINFUGEN RONIS E739 +SCHLUSSEL;17.18;0.2;Missing
AD1058;1STQ009134A0000;ZN+AL+MG ALLOY KEY;SCHLUSSEL EINFUGEN DOPPELKLAPPE;18.34;0.2;Missing
CABINET 1;1STQ001021M0000;CAB.1800X250X200 BL.DOOR,BACK_TOP PAN.;SCHR 1800X250X200_BL TUR, ZUR_TOP WAND;576.19;45.9;Missing
CABINET 1;1STQ001022M0000;CAB.1800X250X300 BL.DOOR,BACK_TOP PAN.;SCHR 1800X250X300_BL TUR, ZUR_TOP WAND;583.05;46.8;Missing
CABINET 1;1STQ001023M0000;CAB.1800X250X500 BL.DOOR,BACK_TOP PAN.;SCHR 1800X250X500_BL TUR, ZUR_TOP WAND;619.22;48.9;Missing
CABINET 1;1STQ001024M0000;CAB.1800X250X700 BL.DOOR,BACK_TOP PAN.;SCHR 1800X250X700_BL TUR, ZUR_TOP WAND;624.99;51.0;Missing
CABINET 1;1STQ001025M0000;CAB.1800X500X200 BL.DOOR,BACK_TOP PAN.;SCHR 1800X500X200_BL TUR, ZUR_TOP WAND;663.01;61.1;Missing
CABINET 1;1STQ001026M0000;CAB.1800X500X300 BL.DOOR,BACK_TOP PAN.;SCHR 1800X500X300_BL TUR, ZUR_TOP WAND;671.39;62.3;Missing
CABINET 1;1STQ001027M0000;CAB.1800X500X500 BL.DOOR,BACK_TOP PAN.;SCHR 1800X500X500_BL TUR, ZUR_TOP WAND;707.62;65.0;Missing
CABINET 1;1STQ001028M0000;CAB.1800X500X700 BL.DOOR,BACK_TOP PAN.;SCHR 1800X500X700_BL TUR, ZUR_TOP WAND;749.01;67.8;Missing
CABINET 1;1STQ001029M0000;CAB.1800X750X200 BL.DOOR,BACK_TOP PAN.;SCHR 1800X750X200_BL TUR, ZUR_TOP WAND;773.28;75.9;Missing
CABINET 1;1STQ001030M0000;CAB.1800X750X300 BL.DOOR,BACK_TOP PAN.;SCHR 1800X750X300_BL TUR, ZUR_TOP WAND;780.78;77.4;Missing
CABINET 1;1STQ001031M0000;CAB.1800X750X500 BL.DOOR,BACK_TOP PAN.;SCHR 1800X750X500_BL TUR, ZUR_TOP WAND;821.04;81.1;Missing
CABINET 1;1STQ001032M0000;CAB.1800X750X700 BL.DOOR,BACK_TOP PAN.;SCHR 1800X750X700_BL TUR, ZUR_TOP WAND;857.7;84.5;Missing
CABINET 1;1STQ001033M0000;CAB.1800X1000X200 BL.DOOR,BACK_TOP PAN.;SCHR 1800X1000X200_BL TUR, ZUR_TOP WAND;976.98;92.6;Missing
CABINET 1;1STQ001034M0000;CAB.1800X1000X300 BL.DOOR,BACK_TOP PAN.;SCHR 1800X1000X300_BL TUR, ZUR_TOP WAND;989.16;94.4;Missing
CABINET 1;1STQ001035M0000;CAB.1800X1000X500 BL.DOOR,BACK_TOP PAN.;SCHR 1800X1000X500_BL TUR, ZUR_TOP WAND;1025.72;98.3;Missing
CABINET 1;1STQ001036M0000;CAB.1800X1000X700 BL.DOOR,BACK_TOP PAN.;SCHR 1800X1000X700_BL TUR, ZUR_TOP WAND;1066.38;102.2;Missing
CABINET 1;1STQ001037M0000;CAB.1800X1250X200 BL.DOOR,BACK_TOP PAN.;SCHR 1800X1250X200_BL TUR, ZUR_TOP WAND;1113.41;123.7;Missing
CABINET 1;1STQ001038M0000;CAB.1800X1250X300 BL.DOOR,BACK_TOP PAN.;SCHR 1800X1250X300_BL TUR, ZUR_TOP WAND;1127.2;125.8;Missing
CABINET 1;1STQ001039M0000;CAB.1800X1250X500 BL.DOOR,BACK_TOP PAN.;SCHR 1800X1250X500_BL TUR, ZUR_TOP WAND;1164.7;130.3;Missing
CABINET 1;1STQ001040M0000;CAB.1800X1250X700 BL.DOOR,BACK_TOP PAN.;SCHR 1800X1250X700_BL TUR, ZUR_TOP WAND;1204.48;134.9;Missing
CABINET 1;1STQ001041M0000;CAB.2100X250X200 BL.DOOR,BACK_TOP PAN.;SCHR 2100X250X200_BL TUR, ZUR_TOP WAND;657.14;51.7;Missing
CABINET 1;1STQ001042M0000;CAB.2100X250X300 BL.DOOR,BACK_TOP PAN.;SCHR 2100X250X300_BL TUR, ZUR_TOP WAND;664;52.6;Missing
CABINET 1;1STQ001043M0000;CAB.2100X250X500 BL.DOOR,BACK_TOP PAN.;SCHR 2100X250X500_BL TUR, ZUR_TOP WAND;700.17;54.7;Missing
CABINET 1;1STQ001044M0000;CAB.2100X250X700 BL.DOOR,BACK_TOP PAN.;SCHR 2100X250X700_BL TUR, ZUR_TOP WAND;705.93;56.8;Missing
CABINET 1;1STQ001045M0000;CAB.2100X500X200 BL.DOOR,BACK_TOP PAN.;SCHR 2100X500X200_BL TUR, ZUR_TOP WAND;731.37;68.9;Missing
CABINET 1;1STQ001046M0000;CAB.2100X500X300 BL.DOOR,BACK_TOP PAN.;SCHR 2100X500X300_BL TUR, ZUR_TOP WAND;739.75;70.1;Missing
CABINET 1;1STQ001047M0000;CAB.2100X500X500 BL.DOOR,BACK_TOP PAN.;SCHR 2100X500X500_BL TUR, ZUR_TOP WAND;775.98;72.8;Missing
CABINET 1;1STQ001048M0000;CAB.2100X500X700 BL.DOOR,BACK_TOP PAN.;SCHR 2100X500X700_BL TUR, ZUR_TOP WAND;817.37;75.6;Missing
CABINET 1;1STQ001049M0000;CAB.2100X750X200 BL.DOOR,BACK_TOP PAN.;SCHR 2100X750X200_BL TUR, ZUR_TOP WAND;840.39;85.2;Missing
CABINET 1;1STQ001050M0000;CAB.2100X750X300 BL.DOOR,BACK_TOP PAN.;SCHR 2100X750X300_BL TUR, ZUR_TOP WAND;847.89;86.7;Missing
CABINET 1;1STQ001051M0000;CAB.2100X750X500 BL.DOOR,BACK_TOP PAN.;SCHR 2100X750X500_BL TUR, ZUR_TOP WAND;888.15;90.4;Missing
CABINET 1;1STQ001052M0000;CAB.2100X750X700 BL.DOOR,BACK_TOP PAN.;SCHR 2100X750X700_BL TUR, ZUR_TOP WAND;924.81;93.8;Missing
CABINET 1;1STQ001053M0000;CAB.2100X1000X200 BL.DOOR,BACK_TOP PAN.;SCHR 2100X1000X200_BL TUR, ZUR_TOP WAND;1062.79;102.4;Missing
CABINET 1;1STQ001054M0000;CAB.2100X1000X300 BL.DOOR,BACK_TOP PAN.;SCHR 2100X1000X300_BL TUR, ZUR_TOP WAND;1074.97;104.2;Missing
CABINET 1;1STQ001055M0000;CAB.2100X1000X500 BL.DOOR,BACK_TOP PAN.;SCHR 2100X1000X500_BL TUR, ZUR_TOP WAND;1111.53;108.1;Missing
CABINET 1;1STQ001056M0000;CAB.2100X1000X700 BL.DOOR,BACK_TOP PAN.;SCHR 2100X1000X700_BL TUR, ZUR_TOP WAND;1152.2;112.0;Missing
CABINET 1;1STQ001057M0000;CAB.2100X1250X200 BL.DOOR,BACK_TOP PAN.;SCHR 2100X1250X200_BL TUR, ZUR_TOP WAND;1209.18;138.0;Missing
CABINET 1;1STQ001058M0000;CAB.2100X1250X300 BL.DOOR,BACK_TOP PAN.;SCHR 2100X1250X300_BL TUR, ZUR_TOP WAND;1222.97;140.1;Missing
CABINET 1;1STQ001059M0000;CAB.2100X1250X500 BL.DOOR,BACK_TOP PAN.;SCHR 2100X1250X500_BL TUR, ZUR_TOP WAND;1268.98;144.6;Missing
