ProductId;LocalOrderCode;HasGraphicalItem;Description;Price;weight;UnitOfMeasure;Quantity;Accessory;;;;;;;;;;;;;;;;;
1SDA013699R1;1SDA013699R1;0;SCREWS SEAL S3..S7-T6-T7;23.8;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA013920R1;1SDA013920R1;0;KIT EF T6 630 - S6 630 6pcs;148;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA013921R1;1SDA013921R1;0;KIT EF T6 630 - S6 630 8pcs;199;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA013922R1;1SDA013922R1;0;KIT FC CuAl 2x240mm2 T6 630-S6 630 6pcs;299;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA013923R1;1SDA013923R1;0;KIT FC CuAl 2x240mm2 T6 630-S6 630 8pcs;401;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA013924R1;1SDA013924R1;0;KIT RC 2x150mm2 T6 630 - S6 630 6pcs;299;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA013925R1;1SDA013925R1;0;KIT RC 2x150mm2 T6 630 - S6 630 8pcs;401;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA013954R1;1SDA013954R1;0;KIT EF T6 800 - S6 800 6pcs;199;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA013955R1;1SDA013955R1;0;KIT EF T6 800 - S6 800 8pcs;267;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA013956R1;1SDA013956R1;0;KIT FC CuAl 3x185mm2 T6 800-S6 800 6pcs;401;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA013957R1;1SDA013957R1;0;KIT FC CuAl 3x185mm2 T6 800-S6 800 8pcs;530;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA013958R1;1SDA013958R1;0;KIT RC 3x240mm2 T6 800 - S6 800 6pcs;431;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA013959R1;1SDA013959R1;0;KIT RC 3x240mm2 T6 800 - S6 800 8pcs;576;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA013984R1;1SDA013984R1;0;KIT 1/2 3p FP EF S6-T6;74;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA013985R1;1SDA013985R1;0;KIT 1/2 4p FP EF S6-T6;99.5;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA013986R1;1SDA013986R1;0;KIT 1/2 3p FP HR S6-T6;168;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA013987R1;1SDA013987R1;0;KIT 1/2 4p FP HR S6-T6;222;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA013988R1;1SDA013988R1;0;KIT 1/2 3p FP VR S6-T6;168;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA013989R1;1SDA013989R1;0;KIT 1/2 4p FP VR S6-T6;222;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA014038R1;1SDA014038R1;0;TERMINAL COVERS LOW 3P S6-T6;113;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA014039R1;1SDA014039R1;0;TERMINAL COVERS LOW 4P S6-T6;141;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA014040R1;1SDA014040R1;0;TERMINAL COVERS HIGH 3P S6-T6;113;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA014041R1;1SDA014041R1;0;TERMINAL COVERS HIGH 4P S6-T6;141;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA023379R1;1SDA023379R1;0;KIT EF T6 630 - S6 630 3pcs;74;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA023380R1;1SDA023380R1;0;KIT FC CuAl 2x240mm2 T6 630-S6 630 3pcs;148;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA023381R1;1SDA023381R1;0;KIT RC 2x150mm2 T6 630 - S6 630 3pcs;148;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA023383R1;1SDA023383R1;0;KIT EF T6 800 - S6 800 3pcs;99.5;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA023384R1;1SDA023384R1;0;KIT FC CuAl 3x185mm2 T6 800-S6 800 3pcs;199;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA023385R1;1SDA023385R1;0;KIT 1/2 3p F F>F RC S6-T6 800;216;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA023389R1;1SDA023389R1;0;KIT EF T6 630 - S6 630 4pcs;99.5;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA023390R1;1SDA023390R1;0;KIT FC CuAl 2x240mm2 T6 630-S6 630 4pcs;199;0;pcs;1;;;;;;;;;;;;;;;;;;
